time,G(i),H_sun,T2m,WS10m,Int
20150121:0011,0.0,0.0,2.59,5.66,0.0
20150121:0111,0.0,0.0,2.69,5.31,0.0
20150121:0211,0.0,0.0,2.8,5.66,0.0
20150121:0311,0.0,0.0,2.72,6.28,0.0
20150121:0411,0.0,0.0,2.55,6.62,0.0
20150121:0511,0.0,0.0,2.44,6.21,0.0
20150121:0611,0.0,0.0,2.33,5.31,0.0
20150121:0711,0.0,0.0,2.18,4.9,0.0
20150121:0811,58.19,3.56,1.95,5.31,0.0
20150121:0911,288.27,9.37,1.71,6.0,0.0
20150121:1011,520.54,13.51,1.71,6.21,0.0
20150121:1111,400.14,15.65,1.51,5.45,0.0
20150121:1211,313.05,15.59,1.4,4.69,0.0
20150121:1311,238.02,13.33,1.38,3.86,0.0
20150121:1411,239.96,9.07,1.45,3.93,0.0
20150121:1511,72.5,3.18,1.55,4.9,0.0
20150121:1611,0.0,0.0,1.64,5.52,0.0
20150121:1711,0.0,0.0,1.61,5.72,0.0
20150121:1811,0.0,0.0,1.52,6.0,0.0
20150121:1911,0.0,0.0,1.4,6.28,0.0
20150121:2011,0.0,0.0,1.18,6.41,0.0
20150121:2111,0.0,0.0,0.96,6.48,0.0
20150121:2211,0.0,0.0,0.47,6.83,0.0
20150121:2311,0.0,0.0,0.31,6.69,0.0
20150122:0011,0.0,0.0,0.2,6.55,0.0
20150122:0111,0.0,0.0,0.09,6.07,0.0
20150122:0211,0.0,0.0,-0.07,5.24,0.0
20150122:0311,0.0,0.0,-0.31,5.03,0.0
20150122:0411,0.0,0.0,-0.51,5.17,0.0
20150122:0511,0.0,0.0,-0.65,5.45,0.0
20150122:0611,0.0,0.0,-0.65,5.86,0.0
20150122:0711,0.0,0.0,-0.55,6.14,0.0
20150122:0811,104.76,3.73,-0.3,6.21,0.0
20150122:0911,189.7,9.56,-0.07,6.14,0.0
