train/critic_loss,train/learning_rate,train/actor_loss,time/fps,train/ent_coef_loss,time/time_elapsed,train/ent_coef,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates
6.230202605584901e+26,0.0003,29118299111424.0,21,-771.6089477539062,4340,805639094272.0,274,92064,336.0,-129942.28241157999,91963
7.519782755378129e+26,0.0003,31647921602560.0,21,-772.6786499023438,4357,890977452032.0,275,92400,336.0,-129940.28560459,92299
9.362091552289072e+26,0.0003,34301647257600.0,21,-769.6666259765625,4373,985329041408.0,276,92736,336.0,-129943.97735476,92635
1.1411468740776219e+27,0.0003,37788388950016.0,21,-778.9967651367188,4389,1089665892352.0,277,93072,336.0,-129935.31672912,92971
1.394642916582254e+27,0.0003,41177663406080.0,21,-781.7197265625,4405,1205108473856.0,278,93408,336.0,-129937.50703837998,93307
1.7128737491298737e+27,0.0003,45409263157248.0,21,-786.9383544921875,4422,1332748353536.0,279,93744,336.0,-129942.23955286,93643
2.0646859200329898e+27,0.0003,49636811210752.0,21,-787.2342529296875,4438,1473949597696.0,280,94080,336.0,-129938.57446832997,93979
2.5439712905914476e+27,0.0003,54237291610112.0,21,-788.834716796875,4454,1630107467776.0,281,94416,336.0,-129946.11690818999,94315
3.09198598294159e+27,0.0003,59866089521152.0,21,-791.0894165039062,4470,1802689183744.0,282,94752,336.0,-129949.38628448,94651
3.8027101076069117e+27,0.0003,66355827048448.0,21,-803.4410400390625,4486,1993637494784.0,283,95088,336.0,-129939.5697123,94987
4.679920672329992e+27,0.0003,72742443417600.0,21,-799.6339111328125,4502,2204778102784.0,284,95424,336.0,-129943.00309885001,95323
5.716897454457803e+27,0.0003,79892683161600.0,21,-803.43798828125,4518,2438219694080.0,285,95760,336.0,-129945.01646838002,95659
6.896460189577759e+27,0.0003,87474055413760.0,21,-800.489501953125,4535,2696599306240.0,286,96096,336.0,-129944.36203739999,95995
8.513758553756644e+27,0.0003,97124712710144.0,21,-811.0662841796875,4552,2982216990720.0,287,96432,336.0,-129953.08139357,96331
1.0340962566324223e+28,0.0003,106805317337088.0,21,-813.5760498046875,4569,3297998798848.0,288,96768,336.0,-129944.67259233,96667
1.2647545806484107e+28,0.0003,117427769704448.0,21,-812.8824462890625,4586,3647266881536.0,289,97104,336.0,-129945.1879243,97003
1.5512005811097796e+28,0.0003,129170730385408.0,21,-815.4458618164062,4602,4033785364480.0,290,97440,336.0,-129940.38626768999,97339
1.8997380269753497e+28,0.0003,142892639191040.0,21,-820.493896484375,4618,4461069074432.0,291,97776,336.0,-129943.17566555999,97675
2.3384271018271704e+28,0.0003,157721265438720.0,21,-824.050048828125,4634,4933415862272.0,292,98112,336.0,-129941.81155,98011
2.8486098537505856e+28,0.0003,173715253886976.0,21,-824.8380737304688,4651,5456181329920.0,293,98448,336.0,-129946.45729853,98347
3.490885696459534e+28,0.0003,190513256857600.0,21,-822.5794677734375,4668,6034064670720.0,294,98784,336.0,-129942.48873118998,98683
4.249678376346918e+28,0.0003,212762747731968.0,21,-835.9306030273438,4684,6673383555072.0,295,99120,336.0,-129944.00433056001,99019
5.144385958214422e+28,0.0003,231694107934720.0,21,-826.2908935546875,4701,7380354465792.0,296,99456,336.0,-129943.3475437,99355
6.322691481317476e+28,0.0003,258398754963456.0,21,-837.4385375976562,4718,8161940471808.0,297,99792,336.0,-129942.75020260998,99691
7.671420127237572e+28,0.0003,283278930083840.0,21,-834.0126342773438,4735,9026194636800.0,298,100128,336.0,-129946.16384493001,100027
9.466351015024571e+28,0.0003,313943755063296.0,21,-839.9265747070312,4752,9982800035840.0,299,100464,336.0,-129941.38870390001,100363
1.1623404298397574e+29,0.0003,348184073207808.0,21,-846.0447387695312,4768,11039925075968.0,300,100800,336.0,-129948.23549297999,100699
1.4223306943434643e+29,0.0003,386008105353216.0,21,-852.62255859375,4785,12209040130048.0,301,101136,336.0,-129943.22135920002,101035
1.734572810612168e+29,0.0003,423690235805696.0,21,-849.4044799804688,4802,13504281051136.0,302,101472,336.0,-129950.97023340002,101371
2.1179061874926286e+29,0.0003,465707733090304.0,21,-847.3323974609375,4818,14934282862592.0,303,101808,336.0,-129950.49394278001,101707
2.598705808475651e+29,0.0003,515892312014848.0,21,-852.1343994140625,4835,16515396009984.0,304,102144,336.0,-129943.19798411001,102043
3.173559102646054e+29,0.0003,567955872022528.0,21,-851.58544921875,4852,18264077893632.0,305,102480,336.0,-129947.2376903,102379
3.910912805385188e+29,0.0003,634236478423040.0,21,-864.342041015625,4868,20198300057600.0,306,102816,336.0,-129941.32151146,102715
4.7780684955870265e+29,0.0003,698006944874496.0,21,-862.9290771484375,4885,22337105690624.0,307,103152,336.0,-129931.8220936,103051
5.7832691583947474e+29,0.0003,770207157059584.0,21,-864.4110107421875,4902,24702579900416.0,308,103488,336.0,-129927.94831001,103387
7.108610756545079e+29,0.0003,850024695070720.0,21,-865.3084106445312,4918,27318657482752.0,309,103824,336.0,-129925.86591882,103723
8.647212158325892e+29,0.0003,945777232838656.0,21,-874.6030883789062,4934,30211785621504.0,310,104160,336.0,-129924.35264108,104059
1.0685453534409784e+30,0.0003,1046718158209024.0,21,-878.4302978515625,4950,33413155258368.0,311,104496,336.0,-129928.51315187,104395
1.290233485654358e+30,0.0003,1146188258607104.0,21,-871.8594970703125,4966,36952623546368.0,312,104832,336.0,-129932.30080352,104731
1.5899653353102347e+30,0.0003,1277294417018880.0,21,-882.6377563476562,4982,40864617332736.0,313,105168,336.0,-129931.98154761002,105067
1.9325338091111537e+30,0.0003,1413187182264320.0,21,-886.1400146484375,4997,45194200219648.0,314,105504,336.0,-129940.12727043,105403
2.3604312895750223e+30,0.0003,1563174285344768.0,21,-889.4775390625,5014,49982216339456.0,315,105840,336.0,-129939.62325263002,105739
2.911411018891131e+30,0.0003,1707924346896384.0,21,-880.6346435546875,5031,55274958225408.0,316,106176,336.0,-129934.23362692002,106075
3.578349099435945e+30,0.0003,1896284164194304.0,21,-887.5809326171875,5047,61127228653568.0,317,106512,336.0,-129936.06268154,106411
4.3785135253853857e+30,0.0003,2088998273024000.0,21,-886.6507568359375,5063,67603238223872.0,318,106848,336.0,-129935.24375546999,106747
5.357820206062781e+30,0.0003,2334137289539584.0,21,-899.7452392578125,5081,74769181442048.0,319,107184,336.0,-129936.97548951,107083
6.527327185940146e+30,0.0003,2589455378546688.0,21,-905.638916015625,5100,82714283737088.0,320,107520,336.0,-129938.50500408998,107419
7.968230758766077e+30,0.0003,2868686771716096.0,21,-909.8204345703125,5118,91523194552320.0,321,107856,336.0,-129945.72759979998,107755
9.718826672191417e+30,0.0003,3149717756182528.0,21,-904.984375,5135,101271780458496.0,322,108192,336.0,-129947.43615187999,108091
1.1880515392725073e+31,0.0003,3498002022924288.0,21,-911.6090698242188,5152,112061300342784.0,323,108528,336.0,-129950.11440365999,108427
1.4737592751810899e+31,0.0003,3861335049764864.0,21,-912.2053833007812,5170,123997500997632.0,324,108864,336.0,-129954.79350986998,108763
1.7819093891124165e+31,0.0003,4288401364746240.0,21,-918.968505859375,5187,137197755826176.0,325,109200,336.0,-129952.43240247,109099
2.202926872736858e+31,0.0003,4731309666598912.0,21,-918.923583984375,5203,151802095861760.0,326,109536,336.0,-129946.82664418,109435
2.7036799050420565e+31,0.0003,5254002891554816.0,21,-925.710205078125,5219,167943740588032.0,327,109872,336.0,-129942.36321178997,109771
3.2676389641890026e+31,0.0003,5801070055915520.0,21,-926.4594116210938,5234,185823035129856.0,328,110208,336.0,-129943.66869915997,110107
3.9778908621230067e+31,0.0003,6397584641884160.0,21,-925.9222412109375,5250,205623807442944.0,329,110544,336.0,-129942.16321784997,110443
4.931128629103978e+31,0.0003,7132579174023168.0,21,-936.60498046875,5267,227525808619520.0,330,110880,336.0,-129948.58621852998,110779
6.068556157894959e+31,0.0003,7801147205091328.0,21,-927.6209716796875,5283,251731875201024.0,331,111216,336.0,-129947.62988314,111115
7.338303519064728e+31,0.0003,8658706682085376.0,21,-933.71533203125,5299,278533393874944.0,332,111552,336.0,-129953.41852469002,111451
8.957121924233959e+31,0.0003,9576595954073600.0,21,-936.1256103515625,5315,308204873449472.0,333,111888,336.0,-129955.97609146,111787
1.1000221066492518e+32,0.0003,1.0625468843687936e+16,21,-941.9193115234375,5330,341005974896640.0,334,112224,336.0,-129953.20639848002,112123
1.3477985135060565e+32,0.0003,1.1785944311005184e+16,21,-947.429931640625,5346,377303750148096.0,335,112560,336.0,-129953.29163807,112459
1.66327979539269e+32,0.0003,1.2992894545690624e+16,21,-946.4801025390625,5362,417458775130112.0,336,112896,336.0,-129953.91073206,112795
2.0304657707295202e+32,0.0003,1.44698253508608e+16,21,-956.2584838867188,5379,461880313249792.0,337,113232,336.0,-129956.15598432,113131
2.4464869331911094e+32,0.0003,1.5965582071431168e+16,21,-956.1151123046875,5397,511087216689152.0,338,113568,336.0,-129952.26977093,113467
3.0666285470241045e+32,0.0003,1.7482505464578048e+16,21,-947.97998046875,5414,565514854203392.0,339,113904,336.0,-129946.65139656999,113803
3.739211428630671e+32,0.0003,1.953924504354816e+16,21,-961.5022583007812,5429,625700499357696.0,340,114240,336.0,-129950.36076061,114139
4.5244340875555516e+32,0.0003,2.154465117339648e+16,21,-960.726318359375,5445,692294101499904.0,341,114576,336.0,-129949.61651899997,114475
5.541841298542438e+32,0.0003,2.3793038635565056e+16,21,-961.5426025390625,5460,766007417241600.0,342,114912,336.0,-129946.86393852998,114811
