time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates
537264,1599,336.0,48235,6556.428732139999,11,2335.6271157037645,0.001,-441.7384914216541,536928
537600,1600,336.0,48265,6590.57183782,11,2143.388976869129,0.001,-441.9854478381929,537264
537936,1601,336.0,48296,6589.833720130001,11,2298.788564046224,0.001,-442.39532507033573,537600
538272,1602,336.0,48327,6577.10776855,11,2070.4906367347353,0.001,-442.7687250773112,537936
538608,1603,336.0,48357,6638.69287013,11,2143.627106621152,0.001,-443.04000563848587,538272
538944,1604,336.0,48387,6617.919504279999,11,2082.327115013486,0.001,-443.46188699631466,538608
539280,1605,336.0,48418,6668.84192235,11,2124.8731542314804,0.001,-443.7908092680432,538944
539616,1606,336.0,48449,6635.47740384,11,1968.718169621059,0.001,-443.889824458531,539280
539952,1607,336.0,48479,6636.54507267,11,2288.100411551339,0.001,-444.50261924380345,539616
540288,1608,336.0,48510,6637.703975730001,11,2239.604894183931,0.001,-444.7249250866118,539952
540624,1609,336.0,48541,6543.67606549,11,2156.9389775594077,0.001,-445.1566254752023,540288
540960,1610,336.0,48572,6554.21777318,11,1982.908715384347,0.001,-445.3000270298549,540624
541296,1611,336.0,48602,6550.740722419999,11,2089.4095720563614,0.001,-445.7752589271182,540960
541632,1612,336.0,48633,6524.915885849999,11,1993.0868392217726,0.001,-446.09407134283157,541296
541968,1613,336.0,48664,6503.090878389998,11,2087.336892082578,0.001,-446.45914350237166,541632
542304,1614,336.0,48695,6525.4410634099995,11,2084.7783234005883,0.001,-446.5901046026321,541968
542640,1615,336.0,48725,6565.067839739999,11,2083.1576926821754,0.001,-447.0476593744187,542304
542976,1616,336.0,48755,6590.13049553,11,2077.8956609453476,0.001,-447.3762975420271,542640
543312,1617,336.0,48786,6602.01684442,11,2083.0011691138857,0.001,-447.6612737746466,542976
543648,1618,336.0,48816,6606.9690556099995,11,2187.7139492943174,0.001,-447.9883490062895,543312
543984,1619,336.0,48847,6622.76210536,11,2198.7040579659597,0.001,-448.2947889055525,543648
544320,1620,336.0,48877,6655.46269893,11,2353.2568174089706,0.001,-448.7334269569034,543984
544656,1621,336.0,48908,6687.674025910001,11,2079.602827344622,0.001,-448.9296698797317,544320
544992,1622,336.0,48938,6684.586722880002,11,2038.966015951974,0.001,-449.23890904017856,544656
545328,1623,336.0,48969,6712.018935260001,11,2034.1515947977703,0.001,-449.52966508411225,544992
545664,1624,336.0,48999,6731.824092270001,11,2356.4697955903553,0.001,-450.225701831636,545328
546000,1625,336.0,49030,6779.45952057,11,2012.9764102754139,0.001,-450.39599736531574,545664
546336,1626,336.0,49060,6698.90150211,11,2093.7323526654923,0.001,-450.6634779430571,546000
546672,1627,336.0,49090,6765.191366590001,11,2242.869810558501,0.001,-451.06257992699034,546336
547008,1628,336.0,49120,6752.110912380001,11,2065.9874383835568,0.001,-451.27829578944613,546672
547344,1629,336.0,49151,6758.43990965,11,1961.9134172712054,0.001,-451.61039588564915,547008
547680,1630,336.0,49182,6774.86421609,11,2145.268894377209,0.001,-451.86208198184056,547344
548016,1631,336.0,49212,6788.66694372,11,2120.8258338201613,0.001,-452.3125784737723,547680
548352,1632,336.0,49243,6827.64951485,11,2199.3408473786853,0.001,-452.6946476527623,548016
548688,1633,336.0,49275,6835.815913549999,11,2073.596666426886,0.001,-453.04608717418853,548352
549024,1634,336.0,49307,6793.030332249999,11,1998.6380776904878,0.001,-453.3833936055501,548688
549360,1635,336.0,49337,6788.629864999999,11,1964.6822320847284,0.001,-453.6613673255557,549024
549696,1636,336.0,49367,6807.70049719,11,2120.7059218997047,0.001,-453.97663443429127,549360
550032,1637,336.0,49398,6827.21310557,11,2171.2666006542386,0.001,-454.3379654657273,549696
550368,1638,336.0,49428,6783.92004922,11,2283.1024809337796,0.001,-454.55166771298366,550032
550704,1639,336.0,49458,6773.067286490001,11,2297.4538265409924,0.001,-454.80915523710706,550368
551040,1640,336.0,49488,6713.623337590001,11,2052.0361576988585,0.001,-455.18129130772184,550704
551376,1641,336.0,49519,6758.16898624,11,1934.804628826323,0.001,-455.60342843191967,551040
551712,1642,336.0,49550,6760.80605202,11,2113.8669531685964,0.001,-455.98883910406204,551376
552048,1643,336.0,49581,6770.1246644,11,2214.1506552923292,0.001,-456.2382147652762,551712
552384,1644,336.0,49612,6781.06643388,11,2221.9456639971054,0.001,-456.5461258661179,552048
552720,1645,336.0,49642,6758.4338506,11,2221.1209102812268,0.001,-456.85240009852816,552384
553056,1646,336.0,49673,6760.53043739,11,2231.6284305027552,0.001,-457.3100921994164,552720
553392,1647,336.0,49703,6838.896634630001,11,2066.5859311421714,0.001,-457.78423036847795,553056
553728,1648,336.0,49734,6918.780723430001,11,2351.1193012055896,0.001,-457.9230951581682,553392
554064,1649,336.0,49766,6877.445897010002,11,2398.8130589439756,0.001,-458.32595443725586,553728
554400,1650,336.0,49796,6936.345381990001,11,2190.619257790702,0.001,-458.5211657569522,554064
554736,1651,336.0,49827,6812.187354440001,11,2519.381360008603,0.001,-458.8448697044736,554400
555072,1652,336.0,49858,6785.672352410001,11,2375.261458805629,0.001,-459.2667114621117,554736
555408,1653,336.0,49889,6751.4801537799995,11,2142.050466628302,0.001,-459.5723544529506,555072
555744,1654,336.0,49919,6692.954333599999,11,2548.292497907366,0.001,-459.94690177554173,555408
556080,1655,336.0,49950,6615.281411299999,11,2512.387118748256,0.001,-460.142943246024,555744
556416,1656,336.0,49981,6626.71376756,11,2212.6821060180664,0.001,-460.5872797284807,556080
556752,1657,336.0,50012,6650.188740499999,11,2235.68067132859,0.001,-460.70398966471356,556416
557088,1658,336.0,50042,6565.529953640001,11,2318.6634928385415,0.001,-461.2935413178943,556752
557424,1659,336.0,50072,6480.9393933400015,11,2168.494342077346,0.001,-461.53454898652575,557088
557760,1660,336.0,50103,6564.235963060001,11,2121.79809207008,0.001,-461.72228349958147,557424
558096,1661,336.0,50134,6625.06364603,11,2394.862819671631,0.001,-462.27012289138065,557760
558432,1662,336.0,50164,6636.36598823,11,2076.4623976207913,0.001,-462.53657495407833,558096
558768,1663,336.0,50194,6570.8746802099995,11,2151.510124933152,0.001,-462.8152440388997,558432
559104,1664,336.0,50225,6588.968539799999,11,1828.1198986598424,0.001,-463.15454537527904,558768
559440,1665,336.0,50255,6590.296745679999,11,2165.5433175223216,0.001,-463.46388916742234,559104
559776,1666,336.0,50286,6606.01986171,11,2392.82402183896,0.001,-463.7392796107701,559440
560112,1667,336.0,50316,6602.447369410001,11,2263.8267322721936,0.001,-464.125249226888,559776
560448,1668,336.0,50347,6549.565740870001,11,2023.9290795099168,0.001,-464.39830634707494,560112
560784,1669,336.0,50378,6480.144495150001,11,2164.4433789934433,0.001,-464.75316220238096,560448
561120,1670,336.0,50408,6482.1138059800005,11,1981.2636171976726,0.001,-464.9134194510324,560784
561456,1671,336.0,50438,6464.813751360001,11,2432.6059784662157,0.001,-465.5413106282552,561120
561792,1672,336.0,50469,6367.7508216,11,2241.238937741234,0.001,-465.82361966087706,561456
562128,1673,336.0,50500,6350.81996337,11,2162.3477692377,0.001,-465.91396876743863,561792
562464,1674,336.0,50531,6445.68844063,11,2420.9203393118723,0.001,-466.43514251708984,562128
562800,1675,336.0,50562,6322.736660049999,11,2259.110347202846,0.001,-466.8349287850516,562464
563136,1676,336.0,50592,6350.8709711,11,2272.6796606154667,0.001,-467.08883721487865,562800
