time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20191222:2110,0.0,0.0,0.0,0.0,0.0,4.04,1.59,0.0
20191222:2210,0.0,0.0,0.0,0.0,0.0,3.13,1.45,0.0
20191222:2310,0.0,0.0,0.0,0.0,0.0,2.65,1.45,0.0
20191223:0010,0.0,0.0,0.0,0.0,0.0,2.26,1.59,0.0
20191223:0110,0.0,0.0,0.0,0.0,0.0,1.68,1.72,0.0
20191223:0210,0.0,0.0,0.0,0.0,0.0,0.7,1.86,0.0
20191223:0310,0.0,0.0,0.0,0.0,0.0,0.28,1.86,0.0
20191223:0410,0.0,0.0,0.0,0.0,0.0,-0.17,1.72,0.0
20191223:0510,0.0,0.0,0.0,0.0,0.0,-0.38,1.66,0.0
20191223:0610,0.0,0.0,0.0,0.0,0.0,-0.4,1.59,0.0
20191223:0710,4893000.0,10.41,58.99,1.27,10.01,1.76,1.17,0.0
20191223:0810,4449000.0,0.0,65.02,1.39,16.87,4.4,1.17,0.0
20191223:0910,3650000.0,0.0,55.99,1.2,21.62,5.88,1.38,0.0
20191223:1010,11318000.0,6.43,135.65,2.93,23.77,5.33,1.79,0.0
20191223:1110,6752000.0,0.0,91.21,1.95,23.08,4.69,2.34,0.0
20191223:1210,17602000.0,55.0,153.82,3.51,19.62,3.77,2.14,0.0
20191223:1310,25870000.0,171.53,128.39,3.3,13.78,3.4,2.07,0.0
20191223:1410,364000.0,0.0,12.64,0.27,6.09,3.07,2.0,0.0
20191223:1510,0.0,0.0,0.0,0.0,0.0,2.78,1.93,0.0
20191223:1610,0.0,0.0,0.0,0.0,0.0,2.64,1.93,0.0
20191223:1710,0.0,0.0,0.0,0.0,0.0,2.33,2.07,0.0
20191223:1810,0.0,0.0,0.0,0.0,0.0,2.4,2.21,0.0
20191223:1910,0.0,0.0,0.0,0.0,0.0,2.46,2.21,0.0
20191223:2010,0.0,0.0,0.0,0.0,0.0,2.37,2.41,0.0
20191223:2110,0.0,0.0,0.0,0.0,0.0,2.24,2.48,0.0
