rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/loss,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss,train/std
21483.22703322,336.0,92160,45,18,5115,2377501.5390625,0.042138671875,-0.00565015526372008,440,2.086162567138672e-06,993393.25,0.0003,0.0062521696,0.2,-3.503082127869129,0.787968635559082
22122.828441519992,336.0,94208,46,17,5247,2064299.6421875,0.081494140625,-0.006395618286478566,450,1.9669532775878906e-06,1091174.375,0.0003,0.009699567,0.2,-3.476957106590271,0.7800448536872864
23107.144596439997,336.0,96256,47,17,5380,2116107.744140625,0.044189453125,-0.005200056651665364,460,1.7285346984863281e-06,888595.6875,0.0003,0.005791912,0.2,-3.451887510716915,0.7759104371070862
23456.437168970006,336.0,98304,48,17,5493,2851884.76171875,0.02548828125,-0.003251562784862472,470,2.0265579223632812e-06,1531124.0,0.0003,0.004662554,0.2,-3.436633449792862,0.7737070918083191
24006.776805239995,336.0,100352,49,17,5604,2231686.701953125,0.0490234375,-0.006410269168554805,480,1.430511474609375e-06,918239.125,0.0003,0.0066463696,0.2,-3.4190231069922445,0.7687589526176453
24872.409171389998,336.0,102400,50,17,5716,3675113.29453125,0.08701171875,0.0003813851129962131,490,1.0728836059570312e-06,1687310.5,0.0003,0.007508253,0.2,-3.407775916904211,0.768444299697876
25908.19678478,336.0,104448,51,17,5841,2844455.652734375,0.035400390625,-0.000467208545160247,500,7.748603820800781e-07,1311946.375,0.0003,0.0075147757,0.2,-3.4024624548852445,0.7664100527763367
26684.278140019996,336.0,106496,52,17,5964,2846021.57578125,0.07958984375,-0.00865023077785736,510,8.344650268554688e-07,1628680.625,0.0003,0.008096034,0.2,-3.395389171689749,0.7655885219573975
27015.81553099,336.0,108544,53,17,6083,3244650.55,0.045703125,-0.005715955328196287,520,1.3709068298339844e-06,1396078.0,0.0003,0.0065356065,0.2,-3.392380014061928,0.7650444507598877
27235.88870252,336.0,110592,54,17,6195,2720801.9109375,0.04296875,-0.006243066659953911,530,6.556510925292969e-07,1494390.25,0.0003,0.005743187,0.2,-3.3749065339565276,0.7572922110557556
27685.82246228,336.0,112640,55,17,6298,2376338.45625,0.047412109375,-0.005378587292943849,540,4.76837158203125e-07,1283632.5,0.0003,0.006422342,0.2,-3.3534502029418944,0.755358874797821
28184.205249480005,336.0,114688,56,17,6424,2927611.165234375,0.0466796875,-0.0057084751642833,550,4.76837158203125e-07,1203836.25,0.0003,0.0050420696,0.2,-3.3429945066571234,0.7521934509277344
28410.716569050004,336.0,116736,57,17,6540,3189242.609375,0.040771484375,-0.004340984048030805,560,4.172325134277344e-07,1665480.25,0.0003,0.0057704113,0.2,-3.337019280344248,0.751224935054779
28815.411489110003,336.0,118784,58,17,6653,2461261.67421875,0.042333984375,-0.005569225592626026,570,4.76837158203125e-07,1285259.0,0.0003,0.005819068,0.2,-3.3339755453169344,0.751561164855957
29494.2732872,336.0,120832,59,17,6765,2717683.5046875,0.04541015625,-0.006913433509907918,580,2.384185791015625e-07,1368050.5,0.0003,0.006190162,0.2,-3.326473091542721,0.7483726143836975
29657.179333849996,336.0,122880,60,17,6877,3230338.03203125,0.04228515625,-0.005367795277561527,590,2.980232238769531e-07,1480698.75,0.0003,0.006567329,0.2,-3.3173375159502028,0.7469611763954163
30341.011104160003,336.0,124928,61,17,6995,2632151.0140625,0.03740234375,-0.0026700001661083663,600,1.7881393432617188e-07,1258217.125,0.0003,0.0057130745,0.2,-3.305260956287384,0.7440792918205261
31153.865242260006,336.0,126976,62,17,7123,3145240.4765625,0.040087890625,-0.006016550055937842,610,1.1920928955078125e-07,1471954.25,0.0003,0.005257339,0.2,-3.2943317748606207,0.7438214421272278
31219.623791860005,336.0,129024,63,17,7234,3670932.9734375,0.026806640625,-0.003164464246947318,620,2.384185791015625e-07,1596677.75,0.0003,0.0046170745,0.2,-3.2922305151820184,0.7447360157966614
31362.59416331,336.0,131072,64,17,7348,3006915.11328125,0.06328125,-0.006454817825579084,630,1.7881393432617188e-07,1537276.25,0.0003,0.0064020604,0.2,-3.278717353194952,0.7383574843406677
30912.869960439995,336.0,133120,65,17,7470,2756221.5375,0.05703125,-0.00524680852831807,640,2.384185791015625e-07,1223621.375,0.0003,0.0070614656,0.2,-3.2652978971600533,0.7390105128288269
30827.884649190004,336.0,135168,66,17,7574,2413751.9140625,0.07001953125,-0.008202976106258576,650,1.1920928955078125e-07,1364069.375,0.0003,0.00797764,0.2,-3.2601204238832,0.735266923904419
30943.930971529997,336.0,137216,67,17,7675,2952203.140625,0.0484375,-0.0074027626294991935,660,5.960464477539063e-08,1284377.75,0.0003,0.0072370255,0.2,-3.2460448384284972,0.7316856384277344
31002.69431561,336.0,139264,68,17,7787,3503680.9234375,0.057666015625,-0.007847649321774952,670,1.7881393432617188e-07,1740408.0,0.0003,0.0073993374,0.2,-3.226274190098047,0.7260168194770813
30760.478177809993,336.0,141312,69,17,7909,2973017.00546875,0.0423828125,-0.005084674652607646,680,1.7881393432617188e-07,1506411.0,0.0003,0.006086561,0.2,-3.2090107686817646,0.7235022187232971
