time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,train/loss
7398,169984,336.0,83,38036.53870784,22,0.7673317790031433,820,-0.0061304867020226085,0.0051237494,4240910.8,0.034423828125,0.2,0.0003,1.1920928955078125e-07,-3.4481876991689204,2096064.75
7489,172032,336.0,84,38194.32043024,22,0.7680774331092834,830,-0.005788116432086099,0.006513832,4151870.02890625,0.038916015625,0.2,0.0003,1.1920928955078125e-07,-3.4493712209165097,2472301.25
7580,174080,336.0,85,38364.847342919995,22,0.7678518891334534,840,-0.006613838419434614,0.0057458514,4119248.58671875,0.047119140625,0.2,0.0003,1.1920928955078125e-07,-3.4498686604201794,1960342.5
7671,176128,336.0,86,38532.61610885,22,0.7666307091712952,850,-0.0034259453925187698,0.0034047333,4071886.615625,0.01279296875,0.2,0.0003,1.7881393432617188e-07,-3.4467645205557345,2158929.5
7761,178176,336.0,87,38666.49820212,22,0.766628086566925,860,-0.004946741426829248,0.004667598,4217712.29296875,0.028076171875,0.2,0.0003,1.1920928955078125e-07,-3.4430678196251394,2185615.5
7852,180224,336.0,88,38904.762136419995,22,0.7655268311500549,870,-0.004407651764631737,0.0047234944,4271464.53515625,0.0291015625,0.2,0.0003,0.0,-3.4415612973272802,2140820.0
7943,182272,336.0,89,39079.73800081,22,0.7639917731285095,880,-0.007087560501531698,0.006328624,4521826.596875,0.049755859375,0.2,0.0003,1.1920928955078125e-07,-3.4381568282842636,2521472.0
8034,184320,336.0,90,39257.24376976,22,0.762135922908783,890,-0.003588259052776266,0.0036854087,4524010.434375,0.014404296875,0.2,0.0003,1.7881393432617188e-07,-3.432134013622999,2046998.25
8124,186368,336.0,91,39320.914926009995,22,0.7614709734916687,900,-0.0048828147919266485,0.003675276,4480425.38359375,0.022509765625,0.2,0.0003,1.7881393432617188e-07,-3.4262508645653726,2402634.5
8212,188416,336.0,92,39388.195302019994,22,0.7552886009216309,910,-0.005601476388983428,0.0060145585,4458267.81484375,0.031396484375,0.2,0.0003,1.1920928955078125e-07,-3.4101471446454523,1776148.25
8302,190464,336.0,93,39587.67730658,22,0.7523403167724609,920,-0.008746455782966223,0.006235774,4496689.52265625,0.050048828125,0.2,0.0003,1.1920928955078125e-07,-3.3918390765786173,2201720.25
8392,192512,336.0,94,39743.76778641,22,0.7497097849845886,930,-0.006234518192650284,0.0052495734,4519100.27265625,0.046142578125,0.2,0.0003,0.0,-3.381846697628498,2255329.0
8482,194560,336.0,95,39902.24939885,22,0.747846782207489,940,-0.006181996120722033,0.0044438895,4780393.728125,0.02724609375,0.2,0.0003,2.0503997802734375e-05,-3.372285235673189,2173858.75
8573,196608,336.0,96,40046.61435736,22,0.7476601004600525,950,-0.007038475721492432,0.00606972,4547362.446875,0.040087890625,0.2,0.0003,1.1920928955078125e-07,-3.367816761136055,2181701.5
8663,198656,336.0,97,40089.875458309994,22,0.7452124953269958,960,-0.004915201282710768,0.0047196615,4813067.8484375,0.023876953125,0.2,0.0003,5.960464477539063e-08,-3.364761473238468,2674067.75
8753,200704,336.0,98,40124.19738725,22,0.744037926197052,970,-0.007822431942622643,0.006591655,4581718.403125,0.059326171875,0.2,0.0003,0.0,-3.3569290287792684,2363142.25
8840,202752,336.0,99,40188.09148277,22,0.7434857487678528,980,-0.00828703031729674,0.006595763,4381791.83828125,0.055859375,0.2,0.0003,1.7881393432617188e-07,-3.354192770272493,2154930.75
8928,204800,336.0,100,40303.62145833,22,0.7419610619544983,990,-0.005990440792811569,0.005429287,4493691.51484375,0.04140625,0.2,0.0003,1.7881393432617188e-07,-3.350096681714058,2348344.25
9015,206848,336.0,101,40489.001261419995,22,0.7416713833808899,1000,-0.005127036359044723,0.004620296,4663911.24140625,0.023974609375,0.2,0.0003,5.960464477539063e-08,-3.3454084143042566,2056958.0
9099,208896,336.0,102,40568.22318499,22,0.7393622994422913,1010,-0.0055781238042982295,0.0054534287,4762388.215625,0.0314453125,0.2,0.0003,0.0,-3.3393070019781588,2458771.0
9185,210944,336.0,103,40706.62080902,22,0.7393965721130371,1020,-0.008287366235163064,0.0063255057,4620859.58671875,0.04970703125,0.2,0.0003,0.0,-3.3339019387960436,2484222.25
9274,212992,336.0,104,40818.756800769996,22,0.7380558848381042,1030,-0.004624985731788911,0.0046640728,4833484.19296875,0.021142578125,0.2,0.0003,5.960464477539063e-08,-3.331526717543602,2566426.75
9365,215040,336.0,105,40925.75945815001,22,0.737170934677124,1040,-0.004503591397224227,0.003963579,4873572.2328125,0.0232421875,0.2,0.0003,0.0,-3.3269285172224046,2564451.75
9455,217088,336.0,106,40897.42965476999,22,0.7336569428443909,1050,-0.00413422799683758,0.00419092,4851517.74609375,0.01865234375,0.2,0.0003,0.0,-3.3173059269785883,2720009.5
9547,219136,336.0,107,41086.327412440005,22,0.7315468788146973,1060,-0.005494458481553011,0.0043219207,4710219.5234375,0.0296875,0.2,0.0003,5.960464477539063e-08,-3.305995214730501,2061555.75
9635,221184,336.0,108,41184.99768231,22,0.7361311316490173,1070,-0.0047244342946214605,0.0045637847,5142898.99765625,0.01826171875,0.2,0.0003,-1.1920928955078125e-07,-3.3122263379395007,2672058.25
9723,223232,336.0,109,41233.308482149994,22,0.7346617579460144,1080,-0.007778964194585569,0.005832102,4823565.1046875,0.0544921875,0.2,0.0003,0.0,-3.318762981146574,2561621.75
9812,225280,336.0,110,41325.11232478,22,0.7372024059295654,1090,-0.005373417789814994,0.005004068,4891520.38671875,0.034228515625,0.2,0.0003,0.0,-3.3206238873302936,2681922.0
