time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/learning_rate,train/loss,train/entropy_loss,train/std,train/value_loss,train/n_updates,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_range
167936,26,6342,32959.23665412,336.0,82,0.059228515625,0.0003,1474584.0,-3.168856383860111,0.7158689498901367,3310873.08125,810,0.0065982947,0.0,-0.007010629982687533,0.2
169984,26,6419,32941.41659822,336.0,83,0.04306640625,0.0003,1759838.75,-3.1601592876017093,0.7115240097045898,3171073.890625,820,0.006782458,1.1920928955078125e-07,-0.0039149364849436095,0.2
172032,26,6495,32945.19446733001,336.0,84,0.069580078125,0.0003,1336602.375,-3.1445970855653287,0.7077862620353699,3237137.05390625,830,0.008094726,-1.1920928955078125e-07,-0.007240113918669522,0.2
174080,26,6571,33054.765057950004,336.0,85,0.046533203125,0.0003,1370281.625,-3.122227467596531,0.7016631960868835,3286357.5046875,840,0.0070812614,5.960464477539063e-08,-0.006981007121794391,0.2
176128,26,6649,33796.027406040004,336.0,86,0.0263671875,0.0003,1246800.875,-3.1068338453769684,0.700201690196991,2984000.23984375,850,0.0046098656,0.0,-0.003677098768821452,0.2
178176,26,6726,33953.56327145,336.0,87,0.046923828125,0.0003,1840316.75,-3.102179056406021,0.6987856030464172,4025319.97109375,860,0.006274663,0.0,-0.0033392337383702396,0.2
180224,26,6804,33918.336437679995,336.0,88,0.051708984375,0.0003,1735627.375,-3.0996304556727408,0.6989330649375916,3542939.79921875,870,0.0067627653,1.7881393432617188e-07,-0.006032418573158793,0.2
182272,26,6882,33082.983697649994,336.0,89,0.0494140625,0.0003,1613435.0,-3.098696468025446,0.699047863483429,3565328.25234375,880,0.0070074815,5.960464477539063e-08,-0.006742634346301202,0.2
184320,26,6958,33085.84263103,336.0,90,0.072998046875,0.0003,751021.6875,-3.0887575052678584,0.6953226923942566,2275440.49375,890,0.012413759,5.960464477539063e-08,-0.00717942115443293,0.2
186368,26,7035,33403.829530120005,336.0,91,0.064013671875,0.0003,1580365.0,-3.085737293958664,0.6982675194740295,2829004.097265625,900,0.0068219863,0.0,-0.006287462551699719,0.2
188416,26,7113,33793.458346110005,336.0,92,0.028955078125,0.0003,1557649.25,-3.0927673168480396,0.6972670555114746,3372726.5546875,910,0.004097717,0.0,-0.0038708848296664655,0.2
190464,26,7189,34094.8919629,336.0,93,0.0533203125,0.0003,1856599.125,-3.0760197333991526,0.6912159323692322,3345358.425,920,0.0059022917,0.0,-0.006684691376722185,0.2
192512,26,7267,33866.52098988,336.0,94,0.0533203125,0.0003,1850813.5,-3.0583040095865726,0.6903085708618164,2905957.3828125,930,0.0067220735,0.0,-0.005939237363054417,0.2
194560,26,7344,34185.77610892,336.0,95,0.018701171875,0.0003,1820407.25,-3.050699966400862,0.6887226700782776,3638096.221875,940,0.0041299583,0.0,-0.0020494934360613115,0.2
196608,26,7421,34494.53755257999,336.0,96,0.063525390625,0.0003,2094885.375,-3.039597325026989,0.6861269474029541,3845779.72890625,950,0.0064321896,1.7881393432617188e-07,-0.006910172174684703,0.2
198656,26,7501,34730.028570680006,336.0,97,0.095947265625,0.0003,1916687.125,-3.0236234568059444,0.6818681359291077,3662244.0609375,960,0.008534199,5.960464477539063e-08,-0.010030186764197424,0.2
200704,26,7582,34350.137503570004,336.0,98,0.0736328125,0.0003,1545488.25,-3.013006664812565,0.6814634203910828,3283896.02265625,970,0.008123914,5.960464477539063e-08,-0.006749931839294732,0.2
202752,26,7662,34365.462344119995,336.0,99,0.04111328125,0.0003,1460983.125,-3.003832336515188,0.6766319274902344,2922360.1890625,980,0.006575697,5.960464477539063e-08,-0.004443696458474733,0.2
204800,26,7744,34706.56915534999,336.0,100,0.06982421875,0.0003,1549188.375,-2.9904803946614265,0.6757494807243347,3017671.334375,990,0.008286224,0.0,-0.007492173070204444,0.2
206848,26,7824,34252.97283328999,336.0,101,0.0435546875,0.0003,1388704.0,-2.988833972066641,0.6770033836364746,3187445.04765625,1000,0.006623356,1.1920928955078125e-07,-0.004461189084395301,0.2
