time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/std,train/clip_range,train/n_updates,train/learning_rate,train/explained_variance,train/clip_fraction,train/entropy_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/value_loss
11786,21,336.0,27418.664429420005,258048,126,0.7209920883178711,0.2,1250,0.0003,0.15154218673706055,0.045556640625,-3.236823242902756,1682548.25,-0.006284554202284198,0.0057933093,3569486.171875
11865,21,336.0,28013.96329701,260096,127,0.7200107574462891,0.2,1260,0.0003,0.09573352336883545,0.04970703125,-3.225546158850193,3876104.0,-0.0071682439032883846,0.0078270715,9850847.68046875
11945,21,336.0,28326.276389889998,262144,128,0.7195751070976257,0.2,1270,0.0003,0.17364859580993652,0.064306640625,-3.220947429537773,2335298.0,-0.00829806511173956,0.006379758,4386580.95859375
12027,21,336.0,27821.179104889998,264192,129,0.7196483612060547,0.2,1280,0.0003,0.1346399188041687,0.028857421875,-3.2205202616751194,2098423.25,-0.005108929604466539,0.004462557,3885384.30078125
12108,21,336.0,26902.329264640004,266240,130,0.7212865948677063,0.2,1290,0.0003,0.12198871374130249,0.03505859375,-3.225142499804497,3007910.5,-0.00840591786254663,0.0059481245,9048296.103125
12190,22,336.0,27777.173034670002,268288,131,0.7196240425109863,0.2,1300,0.0003,0.09409743547439575,0.068701171875,-3.2257038854062556,8187679.0,-0.0004972483577148524,0.005698903,14514635.83671875
12299,21,336.0,27986.821677709995,270336,132,0.7197721004486084,0.2,1310,0.0003,0.1315823197364807,0.01689453125,-3.2232323348522187,3140906.0,-0.003334826784703182,0.0035897447,6951999.15390625
12406,21,336.0,28823.88305196,272384,133,0.7191789746284485,0.2,1320,0.0003,0.16490381956100464,0.02392578125,-3.2228121414780615,1745283.0,-0.0040281655878061425,0.004755159,3321626.96640625
12512,21,336.0,28717.870056869997,274432,134,0.7196474671363831,0.2,1330,0.0003,0.11788952350616455,0.0654296875,-3.2224841982126238,3532121.0,-0.007936695484386292,0.0058970703,6497632.9578125
12615,21,336.0,27888.058168610005,276480,135,0.7215870022773743,0.2,1340,0.0003,0.11124414205551147,0.012060546875,-3.2270413443446158,4978320.5,-0.0021320605810615234,0.003223317,10338689.3984375
12710,21,336.0,27886.798864790002,278528,136,0.7202497124671936,0.2,1350,0.0003,0.11718505620956421,0.05693359375,-3.2271909333765505,2466040.25,-0.0052254237481974995,0.008517539,11595648.728125
12798,21,336.0,27387.938454459992,280576,137,0.7142906785011292,0.2,1360,0.0003,0.16634756326675415,0.034765625,-3.2131320625543593,3598274.75,-0.004407043315586634,0.00494159,4493112.43046875
12885,21,336.0,27329.06415978,282624,138,0.7136052250862122,0.2,1370,0.0003,0.13050472736358643,0.018408203125,-3.198761206865311,4166355.5,-0.0037332900654291736,0.004418107,8508178.109375
12975,21,336.0,27078.31330161,284672,139,0.715095043182373,0.2,1380,0.0003,0.12002313137054443,0.022802734375,-3.1999288581311705,1716294.875,-0.0024727780430112032,0.0044530043,4489154.56953125
13061,21,336.0,26861.757975570006,286720,140,0.7120308876037598,0.2,1390,0.0003,0.1656997799873352,0.02421875,-3.195634650439024,1783498.75,-0.002291834118659608,0.0059113177,3940581.60390625
13149,21,336.0,27548.697364440006,288768,141,0.7084174156188965,0.2,1400,0.0003,0.1610393524169922,0.095068359375,-3.1807278878986835,2648483.75,-0.0007643339689821005,0.008906867,4350535.41796875
13236,21,336.0,28468.190790809997,290816,142,0.7065753936767578,0.2,1410,0.0003,0.1362541913986206,0.069384765625,-3.1668763414025305,2360074.0,-0.004193534598744009,0.007963691,4648317.7171875
13324,21,336.0,28317.214892890006,292864,143,0.7077274918556213,0.2,1420,0.0003,0.11414229869842529,0.0541015625,-3.1675373524427415,1716422.875,-0.006561902991961688,0.005784575,3380178.21875
13411,21,336.0,27969.682428460004,294912,144,0.7084428668022156,0.2,1430,0.0003,0.150468111038208,0.016259765625,-3.1684305436909197,2073879.0,-0.004072354235177045,0.0043707555,3577294.821875
13507,21,336.0,27623.128088609996,296960,145,0.7080801129341125,0.2,1440,0.0003,0.11888241767883301,0.03134765625,-3.1677752204239367,1811377.125,-0.00417167702835286,0.00513452,4682072.3484375
13599,21,336.0,29151.571285309998,299008,146,0.7076169848442078,0.2,1450,0.0003,0.16637569665908813,0.02529296875,-3.1664329431951046,1602482.25,-0.0032839076804521026,0.004424868,3143769.97421875
13698,21,336.0,29405.609557980002,301056,147,0.7056918740272522,0.2,1460,0.0003,0.14861828088760376,0.06201171875,-3.1609361238777636,1980564.25,-0.008718855956976768,0.0065208673,4029268.45234375
13798,21,336.0,28715.45762457,303104,148,0.7033068537712097,0.2,1470,0.0003,0.17782795429229736,0.088916015625,-3.152680662274361,1769984.25,-0.0028712107094179375,0.00697767,3580351.5
13894,21,336.0,29246.43444957,305152,149,0.7061291337013245,0.2,1480,0.0003,0.14917540550231934,0.07265625,-3.15123038738966,4064626.25,-0.005021323781693354,0.007326076,6528165.32421875
13985,21,336.0,29928.634738229997,307200,150,0.7068843841552734,0.2,1490,0.0003,0.18378692865371704,0.023388671875,-3.1578310549259188,2094440.25,-0.004954245738917962,0.00397011,4179557.275
14072,21,336.0,30066.272608390005,309248,151,0.7079815864562988,0.2,1500,0.0003,0.17402046918869019,0.02666015625,-3.1618966922163962,1906038.0,-0.005690247110760538,0.0046561556,4000362.50703125
14175,21,336.0,30401.76436066,311296,152,0.7046145796775818,0.2,1510,0.0003,0.1264936923980713,0.07998046875,-3.155130994319916,7537332.0,-0.008248668554006144,0.008345928,10545819.59375
14267,21,336.0,31369.756987239998,313344,153,0.7030351758003235,0.2,1520,0.0003,0.12591570615768433,0.054736328125,-3.143637405335903,2955376.0,-0.005228265674668364,0.0064612264,5943632.790625
14356,21,336.0,30610.070955119998,315392,154,0.7033991813659668,0.2,1530,0.0003,0.18926948308944702,0.039208984375,-3.1412144653499126,1444836.625,-0.00502115854396834,0.005261041,3257801.9109375
14446,21,336.0,30508.828191089993,317440,155,0.7031843066215515,0.2,1540,0.0003,0.12206482887268066,0.0359375,-3.140061043202877,8712312.0,-0.0027985543187242,0.00581233,8065509.31953125
14537,21,336.0,31014.12311517,319488,156,0.7034649848937988,0.2,1550,0.0003,0.17193597555160522,0.096923828125,-3.1393771931529044,1724126.75,-0.0018407559182378463,0.006892412,4137950.74921875
14627,21,336.0,30734.351671139997,321536,157,0.7005197405815125,0.2,1560,0.0003,0.17272353172302246,0.071533203125,-3.13335784599185,2282270.75,-0.006662008528655861,0.0059529888,4181373.0171875
14714,21,336.0,30574.581182020003,323584,158,0.6999943852424622,0.2,1570,0.0003,0.12379336357116699,0.046630859375,-3.125110585987568,2101924.5,-0.007132205153175164,0.005939249,4914781.8828125
14806,21,336.0,30717.591463689998,325632,159,0.6997570395469666,0.2,1580,0.0003,0.12693798542022705,0.032568359375,-3.1234482035040854,1589555.375,-0.005227871050010435,0.0042458083,3080101.79375
14890,22,336.0,30487.836266619997,327680,160,0.7017374634742737,0.2,1590,0.0003,0.12998753786087036,0.019921875,-3.126746552437544,1951131.75,-0.003813840225484455,0.0042876517,3447076.5171875
14972,22,336.0,30121.866928089996,329728,161,0.7022781372070312,0.2,1600,0.0003,0.1665162444114685,0.067236328125,-3.1305681064724924,1634862.25,-0.0066820894862758,0.007433274,4972868.30234375
15055,22,336.0,29286.843501990006,331776,162,0.699077308177948,0.2,1610,0.0003,0.15355563163757324,0.019091796875,-3.123288717120886,2291981.0,-0.004447793416329659,0.005260287,5035464.10625
15137,22,336.0,29292.296114240005,333824,163,0.698900043964386,0.2,1620,0.0003,0.10528069734573364,0.0515625,-3.1152620881795885,4175036.0,-0.0051964814105303955,0.01102116,15801711.36953125
15218,22,336.0,29501.723063490004,335872,164,0.7012803554534912,0.2,1630,0.0003,0.13935834169387817,0.0615234375,-3.1186747170984743,2685284.0,-0.004372278950177133,0.008242986,8207178.70546875
15301,22,336.0,29283.434580709996,337920,165,0.6999701857566833,0.2,1640,0.0003,0.1793968677520752,0.04130859375,-3.119836251437664,1624023.125,-0.004924993671738776,0.0054245004,3632189.578125
15382,22,336.0,28636.574453479996,339968,166,0.6972570419311523,0.2,1650,0.0003,0.15638333559036255,0.0240234375,-3.10947692245245,2584926.5,-0.003121529080090113,0.004165049,6590888.49921875
15464,22,336.0,28644.269500969993,342016,167,0.696241557598114,0.2,1660,0.0003,0.15767711400985718,0.036083984375,-3.1040370382368563,2756361.25,-0.00276614704853273,0.0050240047,7314657.20703125
15545,22,336.0,28787.86883023,344064,168,0.6972897052764893,0.2,1670,0.0003,0.1577395796775818,0.03310546875,-3.103303900361061,1488882.0,-0.003959269899496576,0.0055224146,5395797.36640625
15626,22,336.0,28039.82594935,346112,169,0.6958771347999573,0.2,1680,0.0003,0.18297725915908813,0.03662109375,-3.101800274848938,4172448.75,-0.006492574041476473,0.0062215156,5534505.94921875
15706,22,336.0,27322.089535850002,348160,170,0.6949174404144287,0.2,1690,0.0003,0.19471538066864014,0.0408203125,-3.096015605330467,3942787.0,-0.004344270709407283,0.008924254,5328991.90625
