rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates
336.0,11,824208,72758,-128721.11332285998,2453,0.001,34074.6004813058,16657890.317708334,823872
336.0,11,824544,72787,-128181.03955641999,2454,0.001,33924.99867466518,16160868.163690476,824208
336.0,11,824880,72816,-126452.88379305,2455,0.001,33973.0936453683,14459048.354910715,824544
336.0,11,825216,72845,-125868.07059016998,2456,0.001,34048.12806919643,14658051.561011905,824880
336.0,11,825552,72875,-125634.99510937,2457,0.001,34059.97121465774,18208449.58184524,825216
336.0,11,825888,72904,-124894.11138895998,2458,0.001,34124.431640625,15742013.52157738,825552
336.0,11,826224,72934,-124102.33016475997,2459,0.001,34115.4717843192,17516500.305059522,825888
336.0,11,826560,72962,-123112.93541737,2460,0.001,34133.678315662204,17705611.217261903,826224
336.0,11,826896,72991,-123425.70477815997,2461,0.001,34202.08305431547,16909408.895833332,826560
336.0,11,827232,73021,-123354.61920102999,2462,0.001,34046.78537713914,16949922.99107143,826896
336.0,11,827568,73051,-122575.39712250998,2463,0.001,34046.37935965402,17097554.25,827232
336.0,11,827904,73080,-124214.08627020998,2464,0.001,34071.29529389881,15862057.89657738,827568
336.0,11,828240,73109,-126989.32726234998,2465,0.001,34157.70016043527,16500690.813988095,827904
336.0,11,828576,73138,-126434.83661706999,2466,0.001,34105.19671921503,14059149.357886905,828240
336.0,11,828912,73168,-125498.96228513999,2467,0.001,34211.2545921689,16184255.960565476,828576
336.0,11,829248,73197,-126114.82788251,2468,0.001,34152.83482142857,14578229.183779761,828912
336.0,11,829584,73226,-124181.43374636,2469,0.001,34138.129638671875,16171791.139880951,829248
336.0,11,829920,73255,-124074.47512058001,2470,0.001,34297.66398111979,16078181.41517857,829584
336.0,11,830256,73285,-125664.06679831998,2471,0.001,34042.45207868303,16259202.910714285,829920
336.0,11,830592,73314,-124949.64555957,2472,0.001,34215.32142857143,15293350.969494049,830256
336.0,11,830928,73343,-125654.42770086,2473,0.001,34201.32853190104,16527712.47172619,830592
336.0,11,831264,73372,-125597.51591545,2474,0.001,34101.989873976934,15700630.27529762,830928
336.0,11,831600,73402,-125740.62743801001,2475,0.001,34121.788702101934,16326492.036458334,831264
336.0,11,831936,73432,-125868.57573863001,2476,0.001,34124.52418154762,14842798.379464285,831600
336.0,11,832272,73461,-126901.34692422001,2477,0.001,33993.53610956101,15281313.613095239,831936
336.0,11,832608,73489,-125823.44248312,2478,0.001,34066.80074637277,17311602.50297619,832272
336.0,11,832944,73519,-126123.81794713,2479,0.001,34137.60565476191,16862859.18452381,832608
336.0,11,833280,73548,-124956.54689515001,2480,0.001,34121.362955729164,15279202.85044643,832944
